f2h_entity_id,f2hname,f2h_price,f2h_weight
2128,Ooty Carrot,98.0000,0.5000
2130,Pineapple,55.0000,0.5000
2131,Ridge Gourd,65.0000,0.5000
2132,Bottle Gourd,34.0000,0.5000
2133,Snake Gourd - Short,43.0000,0.5000
2134,Brinjal Suphol,41.0000,0.5000
2137,Onion,32.0000,0.5000
2138,Potato,25.0000,0.5000
2139,Ginger,79.0000,0.5000
2140,Garlic,90.0000,0.5000
2145,Brinjal Vari,32.0000,0.5000
2146,American Sweet Corn - Pack of 2,39.0000,1.0000
2147,American Sweet Corn - 250g Pack,28.0000,1.0000
2156,Avare Small - CHIKDI,45.0000,0.5000
2157,Baby Corn Peeled - 200g Pack,49.0000,1.0000
2159,Banana Raw,68.0000,0.5000
2164,Beans Haricot,56.0000,0.5000
2165,Beetroot Plains,31.0000,0.5000
2168,Bitter Gourd Green,39.0000,0.5000
2169,Bitter Gourd White,72.0000,0.5000
2172,Brinjal Long Green,35.0000,0.5000
2177,Broccoli,110.0000,0.5000
2180,Cabbage Sandoze,20.0000,0.5000
2182,Green Capsicum Bell Pepper,51.0000,0.5000
2184,Red Capsicum Bell Pepper,99.0000,0.5000
2187,Carrot Plain - Malur,49.0000,0.5000
2198,Chayote / Chow Chow / Cho Cho,42.0000,0.5000
2200,Coconut - Large,44.0000,1.0000
2201,Coconut - Medium,35.0000,1.0000
2202,Colocasia / Kerala Paal Chemb,89.0000,0.5000
2205,Cucumber French,55.0000,0.5000
2221,Zucchini Green,97.0000,0.5000
2223,Yam / Chena,69.0000,0.5000
2234,Tapioca,71.0000,0.5000
2237,Sweet Potato,58.0000,0.5000
2244,Nookal / Kohlrabi / Knol Khol,19.0000,0.5000
2254,Red Cabbage,71.0000,0.5000
2265,Radish - White,30.0000,0.5000
2273,Baby Potato - 500g pack,30.0000,1.0000
2275,Mushroom Button - 200g pack,55.0000,1.0000
2283,Onion Sambar - 250g,30.0000,1.0000
2297,Apple Washington Red,198.0000,0.5000
2345,Musambi,99.0000,0.5000
2346,Musk Melon Round,45.0000,0.5000
2386,Coccinea / Ivy Gourd,35.0000,0.5000
2387,Chilli Hybrid,54.0000,0.5000
2388,Zucchini Yellow,98.0000,0.5000
2413,Cancer Care on Wheels,2.0000,0.0000
2415,Preservative Free Malabar Sail Fish / Ola Meen Pickle - 150g pack,135.0000,1.0000
2417,Yummy Prawns Cutlets - Pack of 3 (130g to 160g),149.0000,1.0000
2421,Premium Goat - Shanks,598.0000,0.5000
2428,Preservative Free Golden Anchovy / Natholi Pickle - 100g pack,135.0000,1.0000
2431,Pear,258.0000,0.5000
2447,Sail Fish / Ola Meen - Fillets,966.6000,0.5000
2448,Sword Fish - Fillets,845.0000,0.5000
2449,Yellow Fin Tuna / Kera - Fillets,777.4000,0.5000
2457,Beetroot - Ooty,58.0000,0.5000
2458,Potato - Ooty,72.0000,0.5000
